Year,Units,Zeitreihe,Bereich,Rohstoffkategorie,Kategorie der letzten Verwendung,Value
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,710.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,757.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,743.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,758.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,776.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,766.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,834.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,783.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,796.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,794.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,771.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,771.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Erze,,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,154.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,167.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,146.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,155.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,148.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,158.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,159.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,166.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,170.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,171.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,150.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,166.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,"Steine, Erden und Industrieminerale",,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,164.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,168.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,177.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,179.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,194.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,189.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,188.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,190.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,175.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,185.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,191.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,192.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Exporte,Biotische Rohstoffe,,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,368.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,377.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,364.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,372.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,360.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,354.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,346.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,353.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,345.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,329.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,289.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,311.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Fossile Energieträger,,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,127.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,157.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,135.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,134.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,137.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,133.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,161.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,156.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,194.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,200.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,165.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,159.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Erze,,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,556.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,619.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,578.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,577.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,578.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,558.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,578.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,602.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,611.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,594.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,606.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,591.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,"Steine, Erden und Industrieminerale",,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,206.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,216.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,213.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,205.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,227.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,205.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,202.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,217.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,192.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,203.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,209.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,216.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,Biotische Rohstoffe,,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,662.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,668.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,658.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,654.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,661.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,648.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,667.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,658.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,647.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,647.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,636.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,659.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum der privaten Haushalte,
2010,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,81.0
2011,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,80.0
2012,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,78.0
2013,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,76.0
2014,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,79.0
2015,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,81.0
2016,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,90.0
2017,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,88.0
2018,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,86.0
2019,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,84.0
2020,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,91.0
2021,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,93.0
2030,Millionen Tonnen,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",Konsum und Investitionen,,Konsum des Staates und der privaten Organisationen ohne Erwerbszweck,
